ISO3166,ISO4217,Continent
AF,AFN,Asia
european_union,EUR,Western Europe
AL,ALL,Eastern Europe
DZ,DZD,Africa
AO,AOA,Africa
eastern_caribbean_dollar,XCD,America
AQ,UNDEFINED,Oceania
AR,ARS,America
AM,AMD,Asia
AW,AWG,America
AU,AUD,Oceania
AZ,AZN,Asia
BS,BSD,America
BH,BHD,Asia
BD,BDT,Asia
BB,BBD,America
BY,BYN,Eastern Europe
BZ,BZD,America
west_african_franc,XOF,Africa
BM,BMD,America
BT,BTN,Asia
BO,BOB,America
BA,BAM,Eastern Europe
BW,BWP,Africa
BR,BRL,America
BN,BND,Asia
BG,BGN,Eastern Europe
BI,BIF,Africa
CV,CVE,Africa
KH,KHR,Asia
central_african_franc,XAF,Africa
CA,CAD,America
KY,KYD,America
CL,CLP,America
CN,CNY,Asia
HK,HKD,Asia
MO,MOP,Asia
CO,COP,America
KM,KMF,Africa
CR,CRC,America
CU,CUP,America
CW,XCG,America
CZ,CZK,Eastern Europe
KP,KPW,Asia
CD,CDF,Africa
DK,DKK,Western Europe
DJ,DJF,Africa
DO,DOP,America
EG,EGP,Africa
ER,ERN,Africa
SZ,SZL,Africa
ET,ETB,Africa
FK,FKP,America
FJ,FJD,Oceania
PF,XPF,Oceania
GM,GMD,Africa
GE,GEL,Asia
GH,GHS,Africa
GI,GIP,Western Europe
GT,GTQ,America
GN,GNF,Africa
GY,GYD,America
HT,HTG,America
HN,HNL,America
HU,HUF,Eastern Europe
IS,ISK,Western Europe
IN,INR,Asia
ID,IDR,Asia
IR,IRR,Asia
IQ,IQD,Asia
IL,ILS,Asia
JM,JMD,America
JP,JPY,Asia
JO,JOD,Asia
KZ,KZT,Asia
KE,KES,Africa
KW,KWD,Asia
KG,KGS,Asia
LA,LAK,Asia
LB,LBP,Asia
LS,LSL,Africa
LR,LRD,Africa
LY,LYD,Africa
MG,MGA,Africa
MW,MWK,Africa
MY,MYR,Asia
MV,MVR,Asia
MR,MRU,Africa
MU,MUR,Africa
MX,MXN,America
MN,MNT,Asia
MA,MAD,Africa
MZ,MZN,Africa
MM,MMK,Asia
NA,NAD,Africa
NP,NPR,Asia
NC,XPF,Oceania
NZ,NZD,Oceania
NI,NIO,America
NG,NGN,Africa
MK,MKD,Eastern Europe
NO,NOK,Western Europe
OM,OMR,Asia
PK,PKR,Asia
PA,PAB,America
PG,PGK,Oceania
PY,PYG,America
PE,PEN,America
PH,PHP,Asia
PL,PLN,Eastern Europe
QA,QAR,Asia
KR,KRW,Asia
MD,MDL,Eastern Europe
RO,RON,Eastern Europe
RU,RUB,Eastern Europe
RW,RWF,Africa
SH,SHP,Africa
WS,WST,Oceania
ST,STN,Africa
SA,SAR,Asia
RS,RSD,Eastern Europe
SC,SCR,Africa
SL,SLE,Africa
SG,SGD,Asia
SX,XCG,America
SB,SBD,Oceania
SO,SOS,Africa
ZA,ZAR,Africa
GS,UNDEFINED,Oceania
SS,SSP,Africa
LK,LKR,Asia
PS,UNDEFINED,Asia
SD,SDG,Africa
SR,SRD,America
SE,SEK,Western Europe
CH,CHF,Western Europe
SY,SYP,Asia
TW,TWD,Asia
TJ,TJS,Asia
TH,THB,Asia
TO,TOP,Oceania
TT,TTD,America
TN,TND,Africa
TR,TRY,Asia
TM,TMT,Asia
UG,UGX,Africa
UA,UAH,Eastern Europe
AE,AED,Asia
GB,GBP,Western Europe
TZ,TZS,Africa
US,USD,America
UY,UYU,America
UZ,UZS,Asia
VU,VUV,Oceania
VE,VES,America
VN,VND,Asia
WF,XPF,Oceania
YE,YER,Asia
ZM,ZMW,Africa
ZW,ZWG,Africa
